submissionid,ma_id,48_enforcement_participation
8e8f0774-bf10-4df5-85f9-d51be0a4db41,172,No
11e9f5eb-8ea5-43ff-a93c-c165a8b66fa0,172,No
126e9cb4-be13-442c-8b7d-aafa2a397c72,165,No
ecdf8a25-d41b-4838-b4a7-ba63f97d3253,171,No
3db46bef-5473-4d5f-b6dd-ec9d70e903ac,165,No
9e79412d-284b-46d0-b75d-735b7b5116bc,171,No
0384d160-896d-4f59-9da8-9e5d539f1ac0,165,No
ebb088eb-e739-4574-b2d1-68cccbdb858d,171,No
b838c18e-8f84-40a2-9d93-1822dad1785c,171,No
dafd6af7-4cd2-4e11-857e-c3a78ab3d86b,171,No
977303de-0afe-4c2c-a55a-aa1c14d0a44b,171,No
9fc62b39-3406-47d7-abe5-65ae938510f2,171,No
c43b01ec-7906-4b93-95d6-8de2fc627f3d,171,No
e0db629f-ec4e-413c-9c1c-25713f1362f8,165,No
fb92b969-e76b-4dde-856b-6a33b758ddff,171,No
4205917d-730e-4eb3-bb5e-01fda1c62692,165,No
d5c8fcaf-21c9-4ef5-9d6d-670ac5bd384f,173,No
bfece21a-dea5-4713-bbce-25b0259efc3d,171,No
317dba2c-eb64-4631-b364-dc23f1a77105,171,No
079521e1-8063-4151-89ba-40f1bf4d75c6,171,No
d9420ddc-5030-4c24-9956-23f4f155a714,165,No
1a0ea335-db4f-4d3f-b83c-c7b2ad1cf181,165,No enforcement system
e884c033-d4e3-495d-ae1c-db79546327d5,165,No
f0736058-4664-49ab-adb5-82204d3b6595,165,No
64b79f52-5a8c-4088-8f11-2837f31f88e6,165,No
0632904e-7edf-4a59-8e67-13e7693d734b,165,No
e7daa924-67ad-4544-b13a-8461f341510f,165,No
a08e2bd6-128a-498b-bd34-be88d7a31ecd,165,No
2995e879-3479-46fa-8555-56eb3964c208,165,No
5b6bc2f0-b2b6-44e0-b02b-2ebf62e34968,165,No
739c7a47-30ef-4bd2-a07f-e45fde30b355,165,No
a1cba7a2-4514-4ab0-8d15-2ac6802e694a,165,No
ae133d52-29d5-4b5d-8a40-f28123b3628f,165,No enforcement system
c4e616f1-597f-4f05-abb9-1b26fe8233ec,164,No
72b56aaf-3727-4a05-9706-7f8546cbdc99,164,No
75f7549f-c7a1-4230-9236-d55923b7f2d6,164,Yes male
de6bf54f-ccec-4806-b148-641198265ca8,164,No
ad23143b-93ac-4b09-987c-fde0c89f0726,164,No
6cb296c3-0e62-4f2f-aa04-bd1c238be8d6,164,No
08c90426-1c77-40b3-8763-8155acc863c7,164,No
2f698c12-b6c2-445f-908c-0b60b80ab913,164,No
c9c56600-4146-4dec-8837-61a5a5ae8ee1,164,No
e7aed27a-09b8-4c59-a76b-fd64a3fcd3a6,164,No
fdb01694-f613-4a82-b9b5-3a54ac36e227,164,Not sure
73274ce5-e5b7-4adf-a143-42873b86ac7e,164,No
4631c1a3-936d-48ca-b334-fc4e278f0dfd,164,No
f47261a4-9cd1-479b-8a69-da9f032494f3,173,No
e6a728cd-dc5f-44df-bdf3-c9d532bf4101,173,No
ebfe8055-4569-4136-84f8-e5fa172df742,173,No
19a32c2d-34a0-49da-8b1a-60fb5400ea4c,173,No
319a620e-f6c9-4f70-badb-9cd19bccaba0,173,No
79a15a51-8b68-4238-a814-b7a71001f227,173,No
fb2933ff-c404-42d3-9060-db6b540aeb81,173,No
b67ce536-4503-4091-bd05-f7fe3df608ab,173,No
8c12f796-454d-455d-82bc-ba4cbfc31cbd,173,No
66167cc4-21ed-410d-82ad-c81a149970c1,173,No
464a27ae-1145-4d84-805c-48c9a468563f,173,No
01379920-a897-47b3-bac3-27b44cff88ee,173,No
e8825433-d68e-462c-9bac-26a64c5f7d11,173,No
2428b16d-d926-4e58-a664-a65ec48a1c03,173,Yes male
4dfbaa4b-9ecf-42b8-a781-4f43114fbcea,173,No
9ccfe72a-ed80-4550-ab7a-e07ecf1855a9,173,No
098a084a-58de-4b7c-b505-655aeb4f061d,173,No
9b1dcb23-37fa-47bc-b93c-43b22466da8b,173,No
c1665f96-5b4e-46e3-a68e-ad60a256ac70,172,No
b681c781-14d5-4fd4-9cd6-98865caa664b,172,No
7a2dcf2e-6df7-479a-8798-77eaa5c9f3ce,172,No
bb93b2f6-942f-4a6c-9dd1-73dcb5927ce2,172,No
1bea09fd-27b2-4502-a93e-3247cd0e8c11,172,No
08a4131b-140e-467a-96f9-e127e2d44073,172,No
aa4a4e06-a992-4686-b1d1-9381de44131e,172,No
7adcd730-696c-439e-b6ae-6b85648fd507,172,No
1087498a-9b48-4173-981a-95cec35f16e3,172,No
6ee89fa4-68ad-4ddf-8998-b03cabba619f,171,No
015ee1ff-3178-4c54-92d5-89cedc8b0868,171,No
6a62428a-e233-446f-91e7-f1e2f9cc4197,171,No
5b7843fe-06cb-4d16-9db7-227d436239e9,165,No
09ea2ee6-db6d-4520-87b4-e0fcc9726918,171,No
3242f2f0-9615-4ae5-a827-3c77046353f0,171,No
7756c604-2207-4ac2-96b2-8899fa74433f,171,No
50437a70-a86b-4716-887f-5cda547a2de2,171,No
6654da72-0aa4-46cd-a245-257226b58644,165,No
4032d396-5443-451e-8211-c6cea2445b88,165,No
48dcf7e0-3733-41a8-97f5-4c5314c332e2,171,Not sure
f44dac89-79f7-4e91-972f-6950229dc4ee,165,No
6e96c69c-f2a3-476e-94dd-b5f48c1ea04c,165,Yes male
d721abbb-1d6c-4a7e-baed-f171379bec2b,165,No
8bb9532c-ca2e-43ec-8417-26edcb18d249,165,No
693f3086-4064-4ef9-9db5-26088989cf9f,165,No enforcement system
a9b9d728-9f4d-4ef8-ba32-fa05eaf2a666,165,No
7c4cabe5-79f1-40bd-be25-655d8c386bda,165,No
f36fc53f-9de5-4e98-9eae-46a2400974fd,165,No
f93a7071-ba19-437a-b89a-8a3449f90ebf,165,No
bd6a2e6d-1bf2-4a57-abc0-47057724bd4b,165,No enforcement system
07af38c0-68b2-418f-9eba-4ba0d3b86ec8,165,No
87d98baf-aeda-4ba2-98c2-788f13613374,164,No
245cd077-23fd-494b-8ffc-d0aecf073303,164,No
b398e8d5-14da-494c-bea4-1f8c1bf15cd5,164,No
4f06ceae-983a-4008-be14-49b605fb9005,164,No
61f7a308-eff1-4a6a-a0ad-3f70c6c8bab3,164,No
d04cc591-f8c3-46c9-85cb-a5b612c71460,164,No
18870eac-c84e-415e-aa29-6383c412b7be,164,No
ba8f6612-fc8a-44a6-acc1-94dcda3baecb,164,No
b37c05a0-edc7-4d22-b8b5-98f200cae2fe,164,No
2007faf1-859e-4f5c-ae09-f57b56ba0c2d,164,No
7d3fec4d-05b0-4ab5-a226-f74697f835e4,173,No
acc56eb2-6691-4d31-894f-41fd6e60dbf3,173,No
966829cd-c327-4986-831a-3e7fbf1bd920,173,No
