submissionid,ma_id,69_fish_type,69_street,69_customer_home,69_market,69_shop,69_fishing_company,69_restaurant,69_own_home,69_other
664e14a6-6200-46f9-864d-e17d87264a31,171,"não vende nem um pescado, pega só para o consumo",,,,,,,,
7fed96df-a0a9-463c-8be2-26926910ac19,165,pratiqueira ,,,,,,,6,
7fed96df-a0a9-463c-8be2-26926910ac19,165,peixe pedra ,,,,,,,4,
0af6124a-9173-46cd-9ffd-1d7e25ac3d54,165,pacamum,,,,,,,,
e0db629f-ec4e-413c-9c1c-25713f1362f8,165,tainha,,,,,,,,
f1e66a73-b7d4-46f5-9303-0b3bb37ae50b,165,bagre,,,,,,,,
5baea77d-fa22-4f26-9a31-62b82eea7511,171,caranguejo ,,,,,,,,
d277caa7-c2ac-4d77-bc1d-82775303da8f,171,caranguejo,,,,,,,,
facf2890-bbd7-4127-8d98-a17a0988b6c2,171,piaba,,,,,,,5,
e9e3522e-a226-4f8f-9f19-19281c1035f0,171,caranguejo ,,,,,,,,
defb1819-7ab9-407c-9bc8-d315d75583d1,171,serra,,,,,,,,
80f7c984-cb93-4a1c-8a79-21bd103772ce,171,pratiqueira,,,,,,,,
80f7c984-cb93-4a1c-8a79-21bd103772ce,171,gó,,,,,,,,
1210e1ff-24ba-45ba-9823-41e33d09158e,171,dourada,,,,,,,,
27e3071e-4de8-4d29-8437-01b2278594f9,165,tainha,,,,,,,,
4205917d-730e-4eb3-bb5e-01fda1c62692,165,Bagre,,,,,,,,
5f054428-89ba-4751-996b-a438d4c970ab,171,chareu,,,,,,,,
f1abeefa-918a-4803-9f30-5753fe7641d1,171,carangueijo(centro),,,,,,,,
9e798e9e-78d5-4db6-8d3d-6fc9acc1813a,171,pescada,,,,,,,,
fa338450-be45-4aa6-bd1d-16ccc4230e69,171,pratiqueira,,,,,,,,
fa338450-be45-4aa6-bd1d-16ccc4230e69,171,coorvina,,,,,,,,
e8168fb9-eb70-4346-8f76-b6ab095595c5,171,coorvina,,,,,,,,
045e05a2-da0a-44d7-8a18-4eb41201f2d1,165,piaba,,,,,,,,
d9420ddc-5030-4c24-9956-23f4f155a714,165,carangurjo(centro),,,,,,,80,
