country,level1_name,level2_name,level3_name,level4_name,level4_id,lat,lon,ma_name,3_community,submissionid,45_leadership_position
PHL,Caraga,Surigao del Norte,General Luna,Daku,1777,9.740543,126.163809,SDN_GL,Daku,1b3106e9-574d-4316-b325-56a0f4a8ce7a,No
PHL,Caraga,Surigao del Norte,General Luna,Daku,1777,9.740543,126.163809,SDN_GL,Daku,1b3106e9-574d-4316-b325-56a0f4a8ce7a,No
PHL,Caraga,Surigao del Norte,General Luna,Daku,1777,9.740543,126.163809,SDN_GL,Daku,1b3106e9-574d-4316-b325-56a0f4a8ce7a,No
PHL,Caraga,Surigao del Norte,General Luna,Daku,1777,9.740543,126.163809,SDN_GL,Daku,291da969-4930-4027-98fb-6a7d5074a371,No
PHL,Caraga,Surigao del Norte,General Luna,Daku,1777,9.740543,126.163809,SDN_GL,Daku,291da969-4930-4027-98fb-6a7d5074a371,No
PHL,Caraga,Surigao del Norte,General Luna,Daku,1777,9.740543,126.163809,SDN_GL,Daku,291da969-4930-4027-98fb-6a7d5074a371,No
PHL,Caraga,Surigao del Norte,Dapa,Barangay 1 (Pob.),1736,9.761184,126.069082,SDN_Dapa,Barangay 1 (Pob.),7b9402ac-487b-4910-8399-700d86e8c285,No
PHL,Caraga,Surigao del Norte,Dapa,Barangay 1 (Pob.),1736,9.761184,126.069082,SDN_Dapa,Barangay 1 (Pob.),7b9402ac-487b-4910-8399-700d86e8c285,No
PHL,Caraga,Surigao del Norte,Dapa,Barangay 1 (Pob.),1736,9.761184,126.069082,SDN_Dapa,Barangay 1 (Pob.),7b9402ac-487b-4910-8399-700d86e8c285,No
PHL,Caraga,Surigao del Norte,General Luna,Daku,1777,9.740543,126.163809,SDN_GL,Daku,daa2f338-4b4e-442b-9225-653ef261abb3,No
PHL,Caraga,Surigao del Norte,General Luna,Daku,1777,9.740543,126.163809,SDN_GL,Daku,daa2f338-4b4e-442b-9225-653ef261abb3,No
PHL,Caraga,Surigao del Norte,General Luna,Daku,1777,9.740543,126.163809,SDN_GL,Daku,daa2f338-4b4e-442b-9225-653ef261abb3,No
PHL,Caraga,Surigao del Norte,General Luna,Poblacion I (Purok I),1780,9.779521,126.144501,SDN_GL,Poblacion I (Purok I),bd839d1c-8eb8-4637-8c80-d1f303b80d8b,No
